PC1,PC2,Cluster
-1.3481886232422786,0.0157570438001881,0
-2.2630982187422592,2.163798562896954,2
2.8966273467776835,-0.2566850107371125,1
4.3833516328527375,-0.969548291687116,1
-2.135251941587901,0.5007225592977971,2
0.956533358191012,-2.299079259564873,0
1.1468245645181272,-1.5718906928119438,1
0.9689949033468536,0.4354236361107805,1
0.4553063183196905,0.3777807319170629,0
-1.6682932809284037,2.7375810320908904,2
-2.094575315555857,-0.3425506824616606,0
3.636949206141597,0.0213139370810167,1
-0.7306100996217114,-2.5736359958702386,0
-1.8535369236998172,-1.461123044356918,0
3.946251531759669,0.6631259722418748,1
-0.6044676134185475,-1.0160299252815526,0
-2.9169752813553123,0.8246268058577149,2
0.2936606114578858,-1.070330937731407,0
-0.5159798708784127,-1.8304584306815093,0
-3.958420647788175,-1.8017885986732696,0
4.967742931585855,-0.0524765757252196,1
3.270920015275617,0.7052061392549844,1
5.834353126034985,0.2182875942615761,1
-2.4295477347670187,-1.2697921563645589,0
-1.8387388997316767,-1.8405869478774275,0
1.7696446592687922,-0.7908571996007727,1
-2.815357489704636,0.7511266997430899,2
2.867258672003864,-0.9871651773554332,1
5.259479093423908,0.8035298292581128,1
2.076245013834054,0.6102879488980322,1
2.26891360369545,1.163239186094868,1
-4.326127480577751,-0.2749998655386473,2
3.6909954915556784,0.581379511616174,1
-0.0557287880988666,-2.0240836569348875,0
-2.458046061224252,-1.0810217000975135,0
1.8844425533431368,0.4555473413782115,1
1.6572884015951668,5.318242095172935,3
-2.067878307833044,-1.9635987508879564,0
-4.008418282786296,-0.6848813829321205,2
3.0782669204566413,0.9318259633137398,1
-0.8731725294936542,0.5833672139481314,0
2.5565547805472044,-1.744933710620017,1
-4.101568024034216,-0.0690512017480878,2
-1.4867586435016238,-2.437432796831449,0
1.952442455508143,1.8694268109736225,3
1.9009445308286288,-0.3619174570341952,1
-2.5595763279317407,-2.143411933307333,0
-1.190693430785134,-1.873564455234077,0
3.516782208476242,-0.0582208623138093,1
-2.830946587079556,-1.3696035500890715,0
3.745246408557068,-1.0816649662950055,1
-0.7655656984113716,-2.7420396715481696,0
5.104144685163227,1.4732331054362338,1
-3.9253482453929975,-0.1659762006496022,2
-1.5694729170734696,-1.9665414199327065,0
1.8116183706539415,1.71728309139082,3
-1.5203689814381325,3.142538952822128,2
4.2158073040351445,-0.8459064342849942,1
-1.8982724708640957,-2.070711372075348,0
1.3911093747946937,-1.2197446973571662,1
1.6927932884848058,-1.9437420084105472,1
-4.872781252664124,3.276414213570785,2
-2.723808660878849,-1.9278197414112663,0
-2.7933705841199656,-2.39794845550514,0
-0.5616076474802402,0.3652456882021708,0
-4.777626034101357,0.7116433107280598,2
1.3282497419019956,4.213740695470576,3
-3.3677780626432674,4.136217347857608,2
-2.4233010865919624,2.462598684589535,2
-1.6447935342629785,-2.532611260560018,0
-0.0076471217200382,-0.3996457036937709,0
-3.0582578938690297,2.9841604140803684,2
-1.638144556955763,-0.7342749382941636,0
2.3278398710565944,1.4116972501355385,3
-2.921955069214724,-2.395982395864898,0
2.077208334958736,-1.730132726622617,1
2.546785218108924,0.0770887173654654,1
0.5027190947725243,-2.248996452262031,0
2.2729387604548217,-1.926433760756612,1
-4.178577016823769,-0.1434154956714979,2
-0.2540540050206271,-1.1797274408193008,0
-1.543345820375809,-2.3434607008140333,0
-1.8229746996375076,-0.6788679104495032,0
-0.9703582865121714,-1.7107502968441193,0
-5.8784041733466825,2.6564624952007976,2
-1.641010754826124,-1.6608639802843326,0
-2.2776286619074155,1.7157277444657693,2
-1.9294600164688864,-0.3330778367545984,0
-1.209675790380081,-1.4337289683874213,0
2.129571442517753,0.2253873235613132,1
-0.4748086779740993,-0.6896953709262752,0
-2.0783419932844063,0.3581361513717676,2
-1.9929955415380336,3.8389416011670106,2
2.8675604307293794,-1.307431431524468,1
-3.7104448179305134,-0.8699319950051405,2
2.812319440724572,0.1477107882238645,1
5.519072002990221,-0.4588084033206533,1
2.7446223573181543,-0.5937318492877794,1
