PC1,PC2
-1.3481886232422786,0.015757043800188178
-2.2630982187422592,2.163798562896954
2.8966273467776835,-0.2566850107371125
4.3833516328527375,-0.9695482916871159
-2.135251941587901,0.5007225592977971
0.956533358191012,-2.2990792595648735
1.1468245645181272,-1.5718906928119438
0.9689949033468535,0.43542363611078055
0.4553063183196905,0.3777807319170629
-1.6682932809284035,2.7375810320908904
-2.094575315555857,-0.3425506824616606
3.636949206141597,0.02131393708101678
-0.7306100996217114,-2.5736359958702386
-1.8535369236998174,-1.4611230443569179
3.9462515317596694,0.6631259722418748
-0.6044676134185475,-1.0160299252815526
-2.9169752813553123,0.8246268058577149
0.2936606114578858,-1.070330937731407
-0.5159798708784127,-1.8304584306815095
-3.958420647788175,-1.8017885986732698
4.967742931585855,-0.05247657572521963
3.270920015275617,0.7052061392549844
5.834353126034985,0.21828759426157618
-2.4295477347670187,-1.2697921563645589
-1.8387388997316771,-1.8405869478774273
1.7696446592687922,-0.7908571996007727
-2.8153574897046356,0.7511266997430899
2.8672586720038638,-0.9871651773554331
5.259479093423908,0.8035298292581128
2.076245013834054,0.6102879488980322
2.26891360369545,1.1632391860948679
-4.326127480577751,-0.2749998655386473
3.6909954915556784,0.581379511616174
-0.05572878809886664,-2.0240836569348875
-2.458046061224252,-1.0810217000975135
1.8844425533431368,0.45554734137821157
1.6572884015951668,5.318242095172935
-2.067878307833044,-1.9635987508879564
-4.0084182827862955,-0.6848813829321205
3.0782669204566413,0.9318259633137398
-0.8731725294936542,0.5833672139481314
2.5565547805472044,-1.7449337106200167
-4.101568024034216,-0.06905120174808782
-1.4867586435016238,-2.4374327968314495
1.952442455508143,1.8694268109736223
1.9009445308286288,-0.3619174570341952
-2.5595763279317407,-2.143411933307333
-1.190693430785134,-1.8735644552340773
3.516782208476242,-0.058220862313809324
-2.830946587079556,-1.3696035500890715
3.745246408557068,-1.0816649662950057
-0.7655656984113716,-2.7420396715481696
5.104144685163227,1.4732331054362338
-3.9253482453929975,-0.16597620064960222
-1.5694729170734696,-1.9665414199327063
1.8116183706539417,1.71728309139082
-1.5203689814381323,3.142538952822128
4.2158073040351445,-0.8459064342849942
-1.8982724708640955,-2.070711372075348
1.3911093747946937,-1.2197446973571662
1.6927932884848058,-1.9437420084105472
-4.872781252664124,3.276414213570785
-2.7238086608788494,-1.9278197414112666
-2.7933705841199656,-2.3979484555051394
-0.5616076474802402,0.3652456882021708
-4.777626034101357,0.7116433107280598
1.3282497419019956,4.213740695470576
-3.3677780626432674,4.136217347857608
-2.4233010865919624,2.462598684589535
-1.6447935342629783,-2.532611260560018
-0.00764712172003823,-0.39964570369377095
-3.0582578938690297,2.9841604140803684
-1.638144556955763,-0.7342749382941636
2.3278398710565944,1.4116972501355383
-2.9219550692147234,-2.395982395864898
2.077208334958736,-1.730132726622617
